B01003_001E,B01003_001M,B00001_001E,B19301_001E,B19301_001M,B19013_001E,B19013_001M,B01002_001E,B01002_001M,B25001_001E,B25001_001M,B00002_001E,state,county,tract,block group
1652,494,61,27389,8522,35479,18702,41.8,6.9,1024,235,37,11,001,007603,1
543,237,23,76452,20068,null,null,51.7,7.7,568,160,18,11,001,007603,2
551,270,39,49355,14716,147667,46334,48.6,13.4,180,69,15,11,001,007603,3
1204,438,38,29661,10041,48994,16300,50.9,7.1,656,214,23,11,001,007603,4
1378,323,90,26172,6108,43295,19365,34.5,5.8,676,113,48,11,001,007604,1
1382,250,118,38697,6649,82692,14596,47.0,4.6,703,91,65,11,001,007604,2
1006,278,71,31703,10124,41164,8113,35.9,9.6,627,114,44,11,001,007604,3
760,198,78,31497,6867,77578,22829,44.4,10.2,296,56,32,11,001,007605,1
2195,339,153,22351,3538,36133,14476,41.8,3.9,1202,97,89,11,001,007605,2
654,274,49,15020,7099,14201,5657,32.7,9.0,372,81,28,11,001,007605,3
712,246,34,25100,12972,null,null,51.7,10.7,379,120,17,11,001,007703,1
1316,481,43,12333,3329,31703,7532,32.2,15.8,566,161,20,11,001,007703,2
2720,766,110,11142,3532,20656,7913,26.4,11.6,1132,192,46,11,001,007703,3
519,319,20,41405,43262,null,null,49.4,20.6,353,133,14,11,001,007703,4
2588,473,164,15623,3837,30643,7844,27.7,8.6,1145,92,83,11,001,007707,1
1835,372,132,26899,6157,65963,7526,36.3,4.6,683,97,61,11,001,007707,2
1600,343,88,13487,4862,25333,14378,24.1,11.8,609,104,36,11,001,007708,1
1470,327,102,20393,3917,35714,14981,42.2,7.9,719,103,47,11,001,007708,2
1258,213,134,20917,3919,31528,8603,49.5,3.4,719,88,75,11,001,007709,1
907,209,97,21024,5351,42063,13484,35.4,5.8,441,91,43,11,001,007709,2
832,334,53,23133,7372,46111,23209,36.7,9.3,398,120,25,11,001,007803,1
630,259,49,26563,11065,41667,16362,44.3,14.8,281,71,24,11,001,007803,2
