B01003_001E,B01003_001M,B00001_001E,B19301_001E,B19301_001M,B19013_001E,B19013_001M,B01002_001E,B01002_001M,B25001_001E,B25001_001M,B00002_001E,state,county,tract
5209,403,293,127012,18222,175048,30804,36.8,3.9,2965,86,153,11,001,000100
3685,384,null,3481,811,-666666666,-222222222,19.7,0.2,3,4,null,11,001,000201
4817,560,465,71335,11802,153705,15708,24.9,2.1,1969,105,174,11,001,000202
6095,625,314,70302,8041,125078,15785,32.4,3.6,2685,108,150,11,001,000300
1578,147,242,140834,23554,178750,67039,45.9,4.3,719,17,107,11,001,000400
3502,338,200,88510,13382,107448,6566,34.3,2.7,2124,94,112,11,001,000501
2973,205,324,91455,8831,114152,12619,36.9,3.4,1783,38,182,11,001,000502
4722,335,299,107737,12311,158625,52588,45.2,2.5,2374,61,135,11,001,000600
5245,490,279,76755,9891,80223,11432,48.1,5.8,3720,110,192,11,001,000701
3316,391,185,56371,6142,72346,13388,29.2,1.5,2440,64,132,11,001,000702
6575,558,423,100641,18922,121265,32594,41.1,6.2,3025,93,165,11,001,000801
3153,305,265,74359,12090,91307,14112,35.3,3.9,1451,56,127,11,001,000802
7790,802,831,73914,11659,231542,34751,20.7,0.5,1633,74,160,11,001,000901
2455,192,378,115128,28778,200893,17641,42.5,0.8,899,22,140,11,001,000902
7894,467,505,67807,6555,153992,8829,41.6,1.3,2849,82,170,11,001,001001
3497,456,198,57766,11738,82847,22103,29.7,2.7,2176,92,113,11,001,001002
4817,315,311,93196,14189,149265,31884,42.8,4.2,2260,82,138,11,001,001100
4908,467,287,79949,8114,106667,19738,38.5,2.4,2618,87,148,11,001,001200
4016,359,218,99100,13567,128395,8058,35.5,2.7,2074,87,113,11,001,001301
7591,617,278,81118,10563,98143,15195,35.6,2.4,5270,194,186,11,001,001302
3369,237,356,87803,12541,112700,23365,39.3,1.9,1512,37,150,11,001,001401
3328,285,299,86446,14363,118693,37830,41.2,4.2,1546,64,141,11,001,001402
6350,469,425,76960,9585,200031,20140,45.3,2.1,2170,45,138,11,001,001500
4175,277,406,78098,8465,143194,24824,50.1,2.0,1716,42,169,11,001,001600
3083,267,265,55369,8180,92543,16489,42.0,4.4,1367,41,119,11,001,001702
4042,348,299,32879,5875,52411,6117,34.7,2.8,1654,61,134,11,001,001803
5619,736,291,24401,2583,46283,9860,34.6,3.7,2241,92,124,11,001,001804
3997,402,347,33830,5677,74344,10622,37.8,6.3,1667,44,151,11,001,001901
2337,244,284,38637,5221,88291,10797,41.2,4.9,866,43,123,11,001,001902
2848,332,340,44172,5941,63385,10940,42.5,2.5,1072,43,142,11,001,002001
3911,537,330,41128,4791,80703,13198,42.0,2.2,1479,57,121,11,001,002002
5859,671,237,28023,5121,57565,8335,37.5,4.0,2338,82,109,11,001,002101
4921,470,363,38372,4760,65387,8965,40.5,4.4,2287,56,175,11,001,002102
3704,328,256,35506,6571,65638,9989,35.7,5.0,1207,57,98,11,001,002201
3974,546,275,26286,5049,48274,13934,32.5,2.9,1473,52,112,11,001,002202
3220,382,289,40953,6731,97500,25191,39.1,3.1,1196,50,122,11,001,002301
1711,235,173,39218,6633,59630,14245,43.5,10.4,1105,89,89,11,001,002302
4257,389,368,40973,6845,96667,9722,36.1,2.3,1477,34,134,11,001,002400
2648,373,237,39069,7545,35370,23111,39.2,4.6,1066,52,90,11,001,002501
5852,709,252,40849,9212,64616,6544,34.3,2.9,2540,97,126,11,001,002502
2573,171,370,73498,9718,135164,21091,46.1,1.4,1046,34,153,11,001,002600
5428,574,292,45567,6017,56630,15551,32.6,3.5,2879,102,148,11,001,002701
6300,620,331,50010,6544,87043,12306,32.7,2.0,2445,131,140,11,001,002702
4033,394,317,25562,2906,48641,6077,30.8,2.2,1869,76,144,11,001,002801
4750,513,327,31109,3010,49338,8412,30.8,1.3,2130,83,162,11,001,002802
4567,390,416,44561,4081,92900,16205,30.9,1.4,1712,64,165,11,001,002900
3534,338,285,39046,5993,70238,21049,28.9,1.1,1563,50,144,11,001,003000
3350,406,234,37455,7245,81356,13121,33.4,3.4,1312,50,104,11,001,003100
4997,547,357,34817,5076,80848,18394,33.5,2.7,1906,64,141,11,001,003200
3619,389,288,61529,6274,105132,22739,31.2,1.5,1614,69,138,11,001,003301
2338,224,318,53102,5738,112500,26904,32.5,2.4,1009,39,146,11,001,003302
4716,492,483,26110,4579,80500,21951,22.3,2.7,1444,48,100,11,001,003400
5603,585,612,21255,2762,69190,19123,23.0,1.0,1231,36,146,11,001,003500
5036,642,252,51870,8195,91250,13362,32.2,1.3,2272,96,111,11,001,003600
5860,555,283,40260,5848,73232,23725,29.9,1.9,2712,89,139,11,001,003700
4969,549,249,62218,7068,92885,9768,33.9,1.1,2835,151,144,11,001,003800
4492,358,264,63716,5801,89662,6982,32.5,1.5,2908,119,157,11,001,003900
4120,441,220,83083,8031,104775,23158,34.6,3.6,2377,79,136,11,001,004001
2998,267,304,71065,7219,90886,6565,34.7,1.6,1925,86,195,11,001,004002
2759,225,274,102304,15484,123456,16979,42.9,3.5,1710,64,161,11,001,004100
3625,283,225,79766,11508,96650,12501,31.8,2.2,2117,85,138,11,001,004201
2635,246,289,90910,14149,102308,15523,31.8,0.8,1891,51,177,11,001,004202
3720,297,237,59883,6336,80000,11218,34.9,2.3,2127,53,147,11,001,004300
5702,376,327,84904,10608,148766,15550,32.7,1.1,2733,89,163,11,001,004400
2947,308,208,45979,7846,64235,31392,31.9,3.0,1407,68,109,11,001,004600
4478,641,173,34229,7917,24767,4423,30.1,3.2,2472,49,104,11,001,004701
2558,226,374,72154,9480,94688,14725,32.9,1.4,1457,56,202,11,001,004702
2223,284,205,53431,4805,103273,7835,37.3,2.6,1212,67,109,11,001,004801
3548,382,266,47257,6198,63015,24508,32.5,1.8,1813,76,145,11,001,004802
2600,301,342,42893,6378,67104,12620,32.2,1.8,1190,54,158,11,001,004901
2842,300,231,58332,7417,81591,35121,32.2,1.5,1537,76,140,11,001,004902
2116,249,238,85672,16681,133686,16235,35.2,2.8,1001,49,124,11,001,005001
6051,487,290,64399,8778,81128,7714,35.3,2.5,3790,89,190,11,001,005002
6224,503,217,91032,10498,102420,17722,31.5,1.3,4473,107,156,11,001,005201
4999,308,298,80263,8402,89097,21788,31.7,1.0,3668,135,211,11,001,005301
6632,721,250,92668,18651,97558,30933,33.2,2.8,4885,225,154,11,001,005500
6964,1006,486,65433,13243,71250,21241,28.1,4.1,4221,149,203,11,001,005600
2781,315,301,99832,13722,124306,17771,39.9,2.1,2259,116,214,11,001,005800
2882,299,289,57361,5628,99330,13327,28.5,1.0,1624,51,150,11,001,005900
117,94,null,58019,45977,-666666666,-222222222,24.8,13.1,54,56,null,11,001,006202
2130,280,191,20124,4121,22969,5994,33.4,4.2,1210,41,115,11,001,006400
2583,277,254,76326,8026,128750,28752,32.3,1.5,1491,58,144,11,001,006500
1904,208,209,92827,14887,143485,14771,39.2,3.1,1112,60,109,11,001,006600
4213,234,386,84221,8315,136797,10998,39.1,1.4,1928,58,185,11,001,006700
2017,195,284,47228,6403,75742,7463,35.9,4.0,966,47,152,11,001,006801
2342,224,348,54623,5760,113250,16694,36.5,2.0,1055,31,161,11,001,006802
2949,251,null,4691,1188,-666666666,-222222222,35.0,3.5,4,6,null,11,001,006804
2181,192,217,71766,6275,108571,21055,41.2,2.2,1251,48,112,11,001,006900
2794,430,276,66547,10009,112096,8061,31.5,2.1,1255,46,116,11,001,007000
3064,403,222,42733,7692,72904,19752,32.4,1.8,1392,33,113,11,001,007100
4584,514,407,63970,7990,106897,14030,30.7,1.4,2436,65,239,11,001,007200
4002,392,410,28639,3705,75625,11531,23.0,1.6,1273,68,116,11,001,007301
3514,467,277,17347,2584,29542,10359,34.3,4.7,1430,62,114,11,001,007304
2453,200,265,9501,1586,15205,2340,27.4,3.1,1085,27,123,11,001,007401
3500,371,194,13191,2016,31399,2491,25.5,2.2,1183,36,77,11,001,007403
3795,466,180,16071,4680,28569,5543,22.9,2.7,1444,65,83,11,001,007404
3061,468,178,13077,2168,37344,13074,25.3,2.2,1134,44,80,11,001,007406
2734,308,204,21111,4343,34531,9782,32.4,4.4,1380,39,105,11,001,007407
3548,454,328,11340,2219,22353,4557,29.8,3.4,1304,41,105,11,001,007408
3802,410,224,16408,2491,33990,6320,27.9,2.6,1640,32,113,11,001,007409
5361,522,308,18210,6741,26422,9110,31.2,4.7,2007,50,130,11,001,007502
2694,301,290,14185,2054,26125,8083,24.8,2.6,1083,28,136,11,001,007503
2780,341,203,15411,4123,17159,2948,28.2,5.7,1365,41,100,11,001,007504
4182,548,244,25917,4276,35438,7428,43.3,4.9,2362,63,140,11,001,007601
3950,501,161,37890,6424,48847,9463,46.6,7.4,2428,102,93,11,001,007603
3766,348,279,32246,4277,53462,8932,42.1,5.2,2006,63,157,11,001,007604
3609,411,280,22948,2887,34761,9132,40.8,3.1,1870,52,149,11,001,007605
5267,785,207,16309,4972,25588,4910,31.6,8.1,2430,89,97,11,001,007703
4423,531,296,20301,3235,49012,15267,32.5,7.2,1828,59,144,11,001,007707
3070,319,190,16794,2701,28438,8779,35.4,4.9,1328,43,83,11,001,007708
2165,256,231,20962,2904,33372,5550,40.9,7.3,1160,57,118,11,001,007709
3473,467,223,22943,3789,38074,10073,41.8,9.3,1746,58,114,11,001,007803
3214,570,228,19639,3301,39732,11674,41.3,8.9,1375,59,85,11,001,007804
2080,281,236,20595,4007,29638,7914,37.7,7.0,1084,53,123,11,001,007806
2314,276,271,24328,7127,38289,13530,35.5,3.6,979,34,117,11,001,007807
4289,590,204,20546,3611,35718,10709,28.6,3.7,1639,81,100,11,001,007808
2805,423,217,23366,4377,39508,12699,35.3,10.9,1362,76,98,11,001,007809
3951,456,301,28348,3005,43854,7641,35.8,5.5,1807,49,152,11,001,007901
1825,239,252,30401,5050,50188,7317,35.3,2.0,910,29,135,11,001,007903
3184,373,272,61145,4834,121776,16038,35.2,2.4,1418,65,125,11,001,008001
3546,239,333,61679,5490,110208,8592,35.8,1.3,1645,63,157,11,001,008002
3212,241,311,72554,4361,129340,16972,34.1,1.4,1468,80,146,11,001,008100
2929,274,348,76192,11742,102339,16335,30.1,4.0,1525,79,149,11,001,008200
2383,237,233,70556,8496,143787,25217,32.7,1.2,1095,53,110,11,001,008301
2409,172,383,62769,5406,120417,13732,34.3,1.7,1026,37,163,11,001,008302
2133,310,183,53971,5739,78375,13862,38.7,2.9,1169,78,107,11,001,008402
1355,180,189,49107,7208,107266,6298,32.7,1.5,642,37,90,11,001,008410
2311,352,286,44057,7905,73611,15563,36.2,4.7,1082,84,132,11,001,008701
1930,250,230,33891,10949,48977,10905,36.6,3.0,850,39,112,11,001,008702
4598,478,367,32758,5703,59000,9765,37.5,3.8,2033,66,170,11,001,008802
2148,446,296,13641,3583,20313,9709,24.9,4.2,662,30,79,11,001,008803
2442,313,181,23092,3388,39766,7099,37.6,2.0,1419,88,100,11,001,008804
3465,507,206,21998,3976,37167,13299,32.8,5.7,1699,32,111,11,001,008903
