,UnWgtSampleCtPop,UnWgtdSampleHousingUnits,MedianAge,MedianAgeMargin,TotalPop,TPopMargin,MedianHouseholdInc,MedHouseholdIncMargin,PerCapitaIncome,PerCapIncMargin,HousingUnits,HousingUnitsMargin,Year,County,State,Tract
0,250,160,43.4,2.4,4701,466,122455,24875,110593,18244,2921,101,2012.0,1,11,000100
1,247,6,19.4,0.3,3598,707,119722,53241,8189,4893,80,35,2012.0,1,11,000201
2,310,147,27.6,1.8,4080,534,119688,16420,68981,11718,1811,74,2012.0,1,11,000202
3,298,156,33.2,3.4,5168,471,91804,16535,64619,10699,2745,80,2012.0,1,11,000300
4,108,57,41.4,3.9,1379,167,176494,23490,121093,27132,692,37,2012.0,1,11,000400
5,210,130,33.1,1.9,3126,233,92109,8410,74375,13808,1980,63,2012.0,1,11,000501
6,250,145,41.7,2.9,3129,211,94598,15981,99444,18010,1750,61,2012.0,1,11,000502
7,341,138,49.6,6.6,5420,842,110000,21628,81028,15047,2111,81,2012.0,1,11,000600
8,249,190,52.2,4.3,4284,320,77019,8357,99808,19789,3335,91,2012.0,1,11,000701
9,157,120,30.5,2.5,2899,406,56875,12178,44182,7121,2124,110,2012.0,1,11,000702
10,357,198,42.6,3.4,6605,587,114098,8494,81262,12051,3494,84,2012.0,1,11,000801
11,226,116,41,1.9,2786,209,109698,25006,85740,11432,1412,42,2012.0,1,11,000802
12,556,140,19.9,0.3,7651,873,209931,48190,66514,11079,1661,72,2012.0,1,11,000901
13,195,78,40.5,4.6,2278,257,162548,8078,96253,20310,898,22,2012.0,1,11,000902
14,464,178,36.5,2.8,7977,638,136121,11090,57099,7111,2751,71,2012.0,1,11,001001
15,166,115,33.3,2.4,3109,439,84310,18269,58894,13358,2196,86,2012.0,1,11,001002
16,360,162,41.8,2.2,4315,349,154340,20817,88827,11761,1979,49,2012.0,1,11,001100
17,284,155,36.4,1.7,4886,334,110625,30921,75019,9876,2430,117,2012.0,1,11,001200
18,255,121,38.5,2.3,4369,446,101366,12630,74341,15512,2043,84,2012.0,1,11,001301
19,410,312,38.1,1.8,6264,415,79223,6492,74290,6379,5001,117,2012.0,1,11,001302
20,279,127,40.2,3.2,3401,206,103529,23322,72844,13300,1490,45,2012.0,1,11,001401
21,251,112,50.2,1.6,3091,287,88194,33141,75575,14852,1437,79,2012.0,1,11,001402
22,372,150,45.3,3.7,6169,414,180536,26164,79892,8834,2270,93,2012.0,1,11,001500
23,291,132,48.5,3.1,4293,273,137434,15413,64230,7938,1752,29,2012.0,1,11,001600
24,152,77,39.8,2.8,2830,365,60227,17392,39169,7025,1301,60,2012.0,1,11,001701
25,178,91,38.1,2.6,2360,319,86979,13916,46493,9604,1139,57,2012.0,1,11,001702
26,null,null,23.5,2,431,443,null,null,18053,3878,0,132,2012.0,1,11,001801
27,179,102,43.6,5.4,2991,308,38821,6117,31333,4995,1665,37,2012.0,1,11,001803
28,245,123,37.2,2.5,4344,461,35168,5556,22068,3396,1958,72,2012.0,1,11,001804
29,297,115,35.8,4.6,5128,741,52031,24477,24294,3750,1653,33,2012.0,1,11,001901
30,143,63,45.3,3.5,2383,177,63191,29686,28286,3993,887,30,2012.0,1,11,001902
31,149,73,46.4,6.7,2720,337,38682,14729,44196,8313,1164,59,2012.0,1,11,002001
32,236,96,41.7,4.7,3967,565,73500,23383,39087,7331,1456,72,2012.0,1,11,002002
33,344,149,34.7,2.2,5084,513,44792,7561,21856,2442,2121,84,2012.0,1,11,002101
34,262,128,44.3,7.4,4482,500,48875,13580,27594,3141,2272,72,2012.0,1,11,002102
35,189,74,36.8,6.3,3305,469,68382,12671,27047,3318,1192,65,2012.0,1,11,002201
36,181,93,37.8,4.2,3222,261,40253,8974,22114,3710,1463,63,2012.0,1,11,002202
37,190,88,39.5,4.5,2907,335,74700,18928,31379,3662,1172,41,2012.0,1,11,002301
38,97,38,54.9,12.6,2013,747,73826,22902,28835,9972,565,47,2012.0,1,11,002302
39,225,96,48.2,2.6,3724,375,55486,13033,28097,2771,1364,59,2012.0,1,11,002400
40,142,72,42.6,3.6,2272,370,51750,18086,33322,6992,1030,30,2012.0,1,11,002501
41,264,127,35,3.4,5124,721,43971,11040,24796,4002,2031,61,2012.0,1,11,002502
42,178,81,48.5,4.7,2348,171,140938,24975,72857,12935,1037,24,2012.0,1,11,002600
43,278,148,34.2,2.4,5416,605,57985,8550,40658,5842,2790,95,2012.0,1,11,002701
44,304,139,34.6,3.8,5834,603,95488,14429,49349,7964,2492,119,2012.0,1,11,002702
45,183,99,34.8,5.1,3555,688,41458,9578,26798,5279,1622,64,2012.0,1,11,002801
46,227,122,32,1.6,4163,627,39424,4823,23285,3876,1904,104,2012.0,1,11,002802
47,264,124,31.5,2,4077,534,52857,10961,27680,4019,1647,58,2012.0,1,11,002900
48,185,86,31.1,1.5,2779,293,43167,7467,33451,7215,1345,75,2012.0,1,11,003000
49,172,72,32.1,1.9,2680,290,53007,16165,26366,4675,1051,71,2012.0,1,11,003100
50,269,116,34.5,3.9,4509,709,48011,17170,25833,3015,1795,73,2012.0,1,11,003200
51,198,92,34.9,5.2,3052,592,80873,7427,47682,17096,1390,35,2012.0,1,11,003301
52,154,77,33.4,2,2055,213,79500,12842,39497,5956,949,56,2012.0,1,11,003302
53,283,86,20.4,1.6,4794,732,25466,7725,13388,2905,1302,75,2012.0,1,11,003400
54,145,65,24.2,5.7,2338,482,32227,16459,19574,4644,1033,55,2012.0,1,11,003500
55,266,141,35.9,4.6,4487,722,41016,8144,29642,3760,1993,86,2012.0,1,11,003600
56,235,128,28.4,2.5,4554,457,40066,5525,22327,2536,2298,88,2012.0,1,11,003700
57,205,141,36.3,0.9,3975,470,72536,14012,53761,7181,2703,132,2012.0,1,11,003800
58,228,167,35.2,1.2,4028,289,72825,6497,58419,4884,2898,91,2012.0,1,11,003900
59,213,136,37.8,1.8,3477,334,101288,11321,77260,8624,2332,101,2012.0,1,11,004001
60,200,138,35.5,2.5,2406,250,86818,17725,91672,18749,1707,102,2012.0,1,11,004002
61,225,128,43.9,4.1,2821,314,91190,16707,88282,15356,1670,75,2012.0,1,11,004100
62,214,141,33.4,1.2,3400,232,90735,13037,75304,13267,2141,63,2012.0,1,11,004201
63,198,147,33.9,2.7,2447,347,88679,9890,83017,14123,1821,84,2012.0,1,11,004202
64,172,121,38.9,5.2,2790,384,53583,18824,51202,8634,1999,101,2012.0,1,11,004300
65,229,133,35.6,1.4,4005,384,97841,11437,65780,8262,2114,97,2012.0,1,11,004400
66,169,94,37.3,4.3,2389,350,51319,14099,35382,6774,1267,93,2012.0,1,11,004600
67,233,123,31.5,7.7,4990,643,15244,4639,18782,4604,2562,123,2012.0,1,11,004700
68,112,73,38.3,2.9,1596,261,73814,23714,47629,10434,993,59,2012.0,1,11,004801
69,172,89,35.3,4,3202,707,39796,2652,32375,10851,1345,85,2012.0,1,11,004802
70,98,57,38.7,3.8,1658,268,49063,16262,38422,7755,956,51,2012.0,1,11,004901
71,181,105,29.3,1.8,2594,278,66422,19011,49978,8197,1390,71,2012.0,1,11,004902
72,381,245,36.3,3.2,7322,687,74282,12937,56137,7964,4541,154,2012.0,1,11,005000
73,92,82,33.8,2.2,1186,208,53210,5122,58791,9398,1069,58,2012.0,1,11,005100
74,305,240,35.8,1.6,4941,385,62854,6176,74141,8868,4077,123,2012.0,1,11,005201
75,48,36,29.3,1.1,572,109,39000,14258,30573,5034,469,57,2012.0,1,11,005202
