,TotalPop,TPopMargin,UnWgtSampleCtPop,PerCapitaIncome,PerCapIncMargin,MedianHouseholdInc,MedHouseholdIncMargin,MedianAge,MedianAgeMargin,HousingUnits,HousingUnitsMargin,UnweightedSampleHousingUnits,State,County,Tract,BlockGroup,Year
0,1297.0,347.0,65.0,93642.0,28468.0,79118.0,44433.0,43.6,5.4,764.0,121.0,44.0,11,1,100,1,2009
1,1340.0,211.0,75.0,97506.0,18142.0,101853.0,48195.0,51.9,6.1,1056.0,128.0,54.0,11,1,100,2,2009
2,838.0,306.0,47.0,143164.0,71282.0,141179.0,110682.0,39.2,9.4,474.0,115.0,28.0,11,1,100,4,2009
3,1226.0,277.0,63.0,120569.0,36279.0,218333.0,111599.0,39.8,7.1,627.0,101.0,34.0,11,1,100,5,2009
4,3598.0,707.0,247.0,8189.0,4893.0,119722.0,53241.0,19.4,0.3,80.0,35.0,6.0,11,1,201,1,2009
5,960.0,283.0,75.0,80729.0,18399.0,160208.0,36116.0,34.6,16.5,454.0,72.0,39.0,11,1,202,1,2009
6,536.0,142.0,44.0,112459.0,46060.0,139327.0,88316.0,47.2,17.1,315.0,71.0,27.0,11,1,202,2,2009
7,679.0,184.0,52.0,87947.0,24653.0,106050.0,50486.0,51.1,14.6,456.0,89.0,34.0,11,1,202,3,2009
8,1905.0,463.0,139.0,44068.0,13765.0,111964.0,13946.0,21.5,0.5,586.0,89.0,47.0,11,1,202,4,2009
9,1139.0,298.0,60.0,66672.0,15249.0,111750.0,21586.0,36.2,8.2,713.0,142.0,34.0,11,1,300,1,2009
10,1346.0,301.0,79.0,96006.0,35059.0,172857.0,26880.0,37.7,10.3,506.0,82.0,33.0,11,1,300,3,2009
11,1588.0,425.0,92.0,48855.0,8869.0,102398.0,77438.0,26.3,2.8,608.0,111.0,38.0,11,1,300,4,2009
12,1095.0,224.0,67.0,46763.0,6809.0,50107.0,9853.0,33.6,3.2,918.0,150.0,51.0,11,1,300,5,2009
13,702.0,205.0,51.0,121008.0,40655.0,239297.0,44401.0,40.0,7.6,252.0,50.0,21.0,11,1,400,1,2009
14,677.0,148.0,57.0,121181.0,36797.0,101538.0,58974.0,44.1,6.4,440.0,58.0,36.0,11,1,400,2,2009
15,1638.0,282.0,113.0,77910.0,24121.0,95854.0,12083.0,34.1,2.4,943.0,116.0,60.0,11,1,501,1,2009
16,1488.0,187.0,97.0,70483.0,12640.0,88309.0,11972.0,32.4,3.5,1037.0,108.0,70.0,11,1,501,2,2009
17,1798.0,212.0,132.0,106109.0,27779.0,124803.0,40839.0,43.3,2.2,891.0,85.0,72.0,11,1,502,3,2009
18,1331.0,196.0,118.0,90440.0,16178.0,84911.0,11775.0,38.8,5.5,859.0,88.0,73.0,11,1,502,4,2009
19,1270.0,287.0,71.0,62785.0,14690.0,95625.0,21040.0,36.8,7.3,671.0,95.0,44.0,11,1,600,1,2009
20,962.0,230.0,64.0,89727.0,20384.0,79896.0,19517.0,39.1,8.8,535.0,93.0,36.0,11,1,600,2,2009
21,772.0,228.0,57.0,80473.0,24988.0,115000.0,92554.0,53.3,14.2,294.0,70.0,19.0,11,1,600,3,2009
22,2416.0,807.0,149.0,87331.0,34402.0,215938.0,41862.0,60.5,13.2,611.0,104.0,39.0,11,1,600,4,2009
23,1229.0,266.0,77.0,87119.0,55164.0,67639.0,17347.0,33.9,4.5,890.0,129.0,54.0,11,1,701,1,2009
24,3055.0,335.0,172.0,104913.0,17732.0,87076.0,14483.0,60.6,3.2,2445.0,151.0,136.0,11,1,701,2,2009
25,1616.0,269.0,89.0,42675.0,8100.0,50167.0,13637.0,28.6,1.0,1191.0,152.0,68.0,11,1,702,3,2009
26,1283.0,396.0,68.0,46080.0,11566.0,62959.0,7097.0,36.2,4.0,933.0,158.0,52.0,11,1,702,5,2009
27,3644.0,542.0,196.0,73495.0,12262.0,88359.0,14100.0,46.9,6.8,2413.0,172.0,135.0,11,1,801,1,2009
28,912.0,312.0,47.0,101832.0,48545.0,142440.0,175859.0,42.0,5.2,334.0,89.0,19.0,11,1,801,2,2009
29,1193.0,466.0,64.0,51799.0,24874.0,123125.0,30009.0,26.3,15.4,432.0,84.0,23.0,11,1,801,4,2009
30,856.0,243.0,50.0,133469.0,34219.0,250001.0,,56.5,4.4,315.0,75.0,21.0,11,1,801,5,2009
