B01003_001E,B01003_001M,B00001_001E,B19301_001E,B19301_001M,B19013_001E,B19013_001M,B01002_001E,B01002_001M,B25001_001E,B25001_001M,B00002_001E,state,county,tract
4701,466,250,110593,18244,122455,24875,43.4,2.4,2921,101,160,11,001,000100
3598,707,247,8189,4893,119722,53241,19.4,0.3,80,35,6,11,001,000201
4080,534,310,68981,11718,119688,16420,27.6,1.8,1811,74,147,11,001,000202
5168,471,298,64619,10699,91804,16535,33.2,3.4,2745,80,156,11,001,000300
1379,167,108,121093,27132,176494,23490,41.4,3.9,692,37,57,11,001,000400
3126,233,210,74375,13808,92109,8410,33.1,1.9,1980,63,130,11,001,000501
3129,211,250,99444,18010,94598,15981,41.7,2.9,1750,61,145,11,001,000502
5420,842,341,81028,15047,110000,21628,49.6,6.6,2111,81,138,11,001,000600
4284,320,249,99808,19789,77019,8357,52.2,4.3,3335,91,190,11,001,000701
2899,406,157,44182,7121,56875,12178,30.5,2.5,2124,110,120,11,001,000702
6605,587,357,81262,12051,114098,8494,42.6,3.4,3494,84,198,11,001,000801
2786,209,226,85740,11432,109698,25006,41,1.9,1412,42,116,11,001,000802
7651,873,556,66514,11079,209931,48190,19.9,0.3,1661,72,140,11,001,000901
2278,257,195,96253,20310,162548,8078,40.5,4.6,898,22,78,11,001,000902
7977,638,464,57099,7111,136121,11090,36.5,2.8,2751,71,178,11,001,001001
3109,439,166,58894,13358,84310,18269,33.3,2.4,2196,86,115,11,001,001002
4315,349,360,88827,11761,154340,20817,41.8,2.2,1979,49,162,11,001,001100
4886,334,284,75019,9876,110625,30921,36.4,1.7,2430,117,155,11,001,001200
4369,446,255,74341,15512,101366,12630,38.5,2.3,2043,84,121,11,001,001301
6264,415,410,74290,6379,79223,6492,38.1,1.8,5001,117,312,11,001,001302
3401,206,279,72844,13300,103529,23322,40.2,3.2,1490,45,127,11,001,001401
3091,287,251,75575,14852,88194,33141,50.2,1.6,1437,79,112,11,001,001402
6169,414,372,79892,8834,180536,26164,45.3,3.7,2270,93,150,11,001,001500
4293,273,291,64230,7938,137434,15413,48.5,3.1,1752,29,132,11,001,001600
2830,365,152,39169,7025,60227,17392,39.8,2.8,1301,60,77,11,001,001701
2360,319,178,46493,9604,86979,13916,38.1,2.6,1139,57,91,11,001,001702
431,443,null,18053,3878,null,null,23.5,2,0,132,null,11,001,001801
2991,308,179,31333,4995,38821,6117,43.6,5.4,1665,37,102,11,001,001803
4344,461,245,22068,3396,35168,5556,37.2,2.5,1958,72,123,11,001,001804
5128,741,297,24294,3750,52031,24477,35.8,4.6,1653,33,115,11,001,001901
2383,177,143,28286,3993,63191,29686,45.3,3.5,887,30,63,11,001,001902
2720,337,149,44196,8313,38682,14729,46.4,6.7,1164,59,73,11,001,002001
3967,565,236,39087,7331,73500,23383,41.7,4.7,1456,72,96,11,001,002002
5084,513,344,21856,2442,44792,7561,34.7,2.2,2121,84,149,11,001,002101
4482,500,262,27594,3141,48875,13580,44.3,7.4,2272,72,128,11,001,002102
3305,469,189,27047,3318,68382,12671,36.8,6.3,1192,65,74,11,001,002201
3222,261,181,22114,3710,40253,8974,37.8,4.2,1463,63,93,11,001,002202
2907,335,190,31379,3662,74700,18928,39.5,4.5,1172,41,88,11,001,002301
2013,747,97,28835,9972,73826,22902,54.9,12.6,565,47,38,11,001,002302
3724,375,225,28097,2771,55486,13033,48.2,2.6,1364,59,96,11,001,002400
2272,370,142,33322,6992,51750,18086,42.6,3.6,1030,30,72,11,001,002501
5124,721,264,24796,4002,43971,11040,35,3.4,2031,61,127,11,001,002502
2348,171,178,72857,12935,140938,24975,48.5,4.7,1037,24,81,11,001,002600
5416,605,278,40658,5842,57985,8550,34.2,2.4,2790,95,148,11,001,002701
5834,603,304,49349,7964,95488,14429,34.6,3.8,2492,119,139,11,001,002702
3555,688,183,26798,5279,41458,9578,34.8,5.1,1622,64,99,11,001,002801
4163,627,227,23285,3876,39424,4823,32,1.6,1904,104,122,11,001,002802
4077,534,264,27680,4019,52857,10961,31.5,2,1647,58,124,11,001,002900
2779,293,185,33451,7215,43167,7467,31.1,1.5,1345,75,86,11,001,003000
2680,290,172,26366,4675,53007,16165,32.1,1.9,1051,71,72,11,001,003100
4509,709,269,25833,3015,48011,17170,34.5,3.9,1795,73,116,11,001,003200
3052,592,198,47682,17096,80873,7427,34.9,5.2,1390,35,92,11,001,003301
2055,213,154,39497,5956,79500,12842,33.4,2,949,56,77,11,001,003302
4794,732,283,13388,2905,25466,7725,20.4,1.6,1302,75,86,11,001,003400
2338,482,145,19574,4644,32227,16459,24.2,5.7,1033,55,65,11,001,003500
4487,722,266,29642,3760,41016,8144,35.9,4.6,1993,86,141,11,001,003600
4554,457,235,22327,2536,40066,5525,28.4,2.5,2298,88,128,11,001,003700
3975,470,205,53761,7181,72536,14012,36.3,0.9,2703,132,141,11,001,003800
4028,289,228,58419,4884,72825,6497,35.2,1.2,2898,91,167,11,001,003900
3477,334,213,77260,8624,101288,11321,37.8,1.8,2332,101,136,11,001,004001
2406,250,200,91672,18749,86818,17725,35.5,2.5,1707,102,138,11,001,004002
2821,314,225,88282,15356,91190,16707,43.9,4.1,1670,75,128,11,001,004100
3400,232,214,75304,13267,90735,13037,33.4,1.2,2141,63,141,11,001,004201
2447,347,198,83017,14123,88679,9890,33.9,2.7,1821,84,147,11,001,004202
2790,384,172,51202,8634,53583,18824,38.9,5.2,1999,101,121,11,001,004300
4005,384,229,65780,8262,97841,11437,35.6,1.4,2114,97,133,11,001,004400
2389,350,169,35382,6774,51319,14099,37.3,4.3,1267,93,94,11,001,004600
4990,643,233,18782,4604,15244,4639,31.5,7.7,2562,123,123,11,001,004700
1596,261,112,47629,10434,73814,23714,38.3,2.9,993,59,73,11,001,004801
3202,707,172,32375,10851,39796,2652,35.3,4,1345,85,89,11,001,004802
1658,268,98,38422,7755,49063,16262,38.7,3.8,956,51,57,11,001,004901
2594,278,181,49978,8197,66422,19011,29.3,1.8,1390,71,105,11,001,004902
7322,687,381,56137,7964,74282,12937,36.3,3.2,4541,154,245,11,001,005000
1186,208,92,58791,9398,53210,5122,33.8,2.2,1069,58,82,11,001,005100
4941,385,305,74141,8868,62854,6176,35.8,1.6,4077,123,240,11,001,005201
572,109,48,30573,5034,39000,14258,29.3,1.1,469,57,36,11,001,005202
5633,1546,261,64484,16655,85355,11408,40.1,7.6,3571,138,199,11,001,005301
167,74,15,86909,21462,109545,40673,41.6,16.5,155,33,14,11,001,005302
1236,194,121,68498,19464,52000,9080,27.8,3,1000,65,85,11,001,005401
0,132,null,null,null,null,null,null,null,0,132,null,11,001,005402
5273,468,325,73840,7139,88458,10325,35.7,1.6,3895,142,235,11,001,005500
4538,428,286,72601,10694,69929,9385,39.6,6.9,3797,120,217,11,001,005600
5809,822,415,6726,1547,13594,15102,19.8,0.2,1045,72,89,11,001,005701
0,132,null,null,null,null,null,null,null,0,132,null,11,001,005702
2168,206,189,96177,14374,107208,21326,34.7,2.6,1894,103,148,11,001,005800
3543,724,286,32617,7758,52130,12272,42.9,10.8,1513,113,124,11,001,005900
3643,374,200,53900,7228,62834,8985,35.9,4,2503,110,132,11,001,006001
594,225,36,2618,1354,5859,2033,25.5,2.4,171,58,11,11,001,006002
2561,328,151,55957,8335,71431,7000,45.1,9,1877,82,113,11,001,006100
473,103,39,84025,18806,97292,44723,37.3,11.2,314,61,24,11,001,006201
0,132,null,null,null,null,null,null,null,0,132,null,11,001,006202
4659,533,204,51583,8873,71209,10395,48.7,1.6,3178,92,158,11,001,006301
331,516,null,20807,135,null,null,22,2.2,0,132,null,11,001,006302
2051,254,112,19995,5866,18774,4632,38.3,3,1119,44,69,11,001,006400
2597,402,188,72742,6311,117083,16164,36.3,4.8,1525,106,112,11,001,006500
1836,262,152,72527,9331,91141,18854,35.6,3.2,1175,47,90,11,001,006600
4226,369,358,69242,7964,135573,10309,38.1,2.2,2004,61,168,11,001,006700
1688,233,106,45287,10869,64769,34120,39.1,6,1026,73,62,11,001,006801
2219,312,141,35293,4775,72885,23840,37,4,976,55,65,11,001,006802
2178,234,null,4667,1915,null,null,33.8,2.3,36,39,null,11,001,006804
2083,224,147,64938,22572,110865,22707,38.1,2.4,1124,33,80,11,001,006900
2356,361,190,65219,11815,87314,7559,33.6,3.9,1194,66,92,11,001,007000
3088,415,179,22767,3856,29063,10296,30.9,3,1269,55,83,11,001,007100
625,218,57,32305,10888,33911,9022,35.5,11.4,675,107,50,11,001,007200
2958,630,194,22818,3197,68333,12486,25.6,1.3,1168,130,76,11,001,007301
3495,562,218,17911,4984,30663,9280,28.3,10.2,1785,100,115,11,001,007302
3556,589,194,19008,3071,36467,9245,33.8,8.5,1432,102,84,11,001,007304
450,398,null,3136,1651,null,null,19.7,0.4,0,132,null,11,001,007308
2729,476,147,8862,1711,18472,6996,21,4.4,1017,36,61,11,001,007401
3413,397,148,16776,5893,29912,7081,26.7,3.4,1186,53,59,11,001,007403
3587,515,197,12795,3938,29595,8421,20.8,2,1425,109,84,11,001,007404
3489,460,215,10949,2536,28403,8007,22.3,5.7,1119,40,78,11,001,007406
3177,611,154,18424,5735,36810,12923,25.3,7.4,1124,65,68,11,001,007407
2678,357,150,11755,3642,17956,3073,25.9,3.5,1204,41,73,11,001,007408
