,Description,ID,Latitude,Longitude,Station_Entrance,StationCode1,StationCode2,census_block,census_blockgroup,census_tract,census_index
0,Building entrance from east mezzanine to Grand Hyatt Hotel entrance.,1,38.898365000000005,-77.02668299999999,EAST BUILDING ENTRANCE (HYATT) TO RED LINES,A01,C01,1012,1,005800,0058001
1,Building Entrance from the southeast corner of 11th St NW and G St NW.,2,38.898073,-77.02678900000001,EAST ENTRANCE (11TH & G STs) TO RED LINES,A01,C01,1031,1,005800,0058001
2,Building Entrance from the southeast corner of 13th St NW and G St NW.,4,38.898026,-77.029379,WEST ENTRANCE (13TH & G STs) TO RED LINES,A01,C01,1019,1,005800,0058001
3,Elevator entrance from Connecticut Ave NW,5,38.903021,-77.039314,ELEVATOR ENTRANCE (CONNECTICUT AVE NW),A02,,1020,1,010700,0107001
4,Building entrance from the northeast corner of L St  NW and Connecticut Ave NW. (Escalator Only),6,38.903925,-77.039787,NORTH ENTRANCE (EAST OF CONNECTICUT & L ST),A02,,1021,1,010700,0107001
5,Building entrance from the southwest corner of  L St  NW and Connecticut Ave NW. (Escalator Only),8,38.903525,-77.040186,WEST ENTRANCE (WEST OF CONNECTICUT & L ST),A02,,1019,1,010700,0107001
6,"Street level elevator at north side of the station is accessible from Connecticut Ave NW, 20th NW and Q St NW.",9,38.910792,-77.04455300000001,NORTH ELEVATOR ENTRANCE (Q ST & CONNECTICUT AVE),A03,,1007,1,005500,0055001
7,North side station entrance is located at the southeast corner of  20th NW and Q St NW and accessible from Connecticut Ave NW.,10,38.911001,-77.04474599999999,NORTH ENTRANCE (Q & 20th & CONNECTICUT),A03,,1007,1,005500,0055001
8,Canopied entrance from 19th St NW and is also accessible from Connecticut Ave NW.,11,38.908648,-77.043322,SOUTH ENTRANCE (19th ST & CONNECTICUT AVE),A03,,2004,2,010700,0107002
9,Street level elevator from the southwest corner of Woodley Rd NW and Connecticut Ave NW.,12,38.925435,-77.052876,NORTH ELEVATOR ENTRANCE (SOUTHWEST CORNER OF WOODLEY RD & CONNECTICUT AVE),A04,,2000,2,000501,0005012
